participant_number,game_group,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt,group_id,group_label,bm_pred,nm_pred
45,⊤⊤,6.0,2.0,0.0,8.0,0.25,8.321128249000001,7.3649414775,G4,G4: neither diagnostic,Low,Low
46,⊥⊥,3.0,5.0,0.0,8.0,0.625,3.4079807994999998,5.237278461,G1,G1: both diagnostic,High,High
46,⊥⊤,6.0,2.0,0.0,8.0,0.25,3.4469445945,7.1066747905,G2,G2: BM-only diagnostic,High,Low
46,⊤⊥,2.0,6.0,0.0,8.0,0.75,3.1388349535,5.726131200999999,G3,G3: NM-only diagnostic,Low,High
46,⊤⊤,6.0,2.0,0.0,8.0,0.25,2.751186609,5.996920347,G4,G4: neither diagnostic,Low,Low
47,⊥⊥,4.0,3.0,1.0,8.0,0.42857142857142855,2.780554056,5.836760759000001,G1,G1: both diagnostic,High,High
47,⊥⊤,4.0,2.0,2.0,8.0,0.3333333333333333,2.6269880535,7.077818632,G2,G2: BM-only diagnostic,High,Low
47,⊤⊥,0.0,3.0,5.0,8.0,1.0,3.418645859,8.566069602999999,G3,G3: NM-only diagnostic,Low,High
47,⊤⊤,2.0,4.0,2.0,8.0,0.6666666666666666,3.6679183245,4.8967956305,G4,G4: neither diagnostic,Low,Low
48,⊥⊥,5.0,3.0,0.0,8.0,0.375,6.5182477235,5.911883593,G1,G1: both diagnostic,High,High
48,⊥⊤,4.0,4.0,0.0,8.0,0.5,6.348306656,7.585926056,G2,G2: BM-only diagnostic,High,Low
48,⊤⊥,4.0,4.0,0.0,8.0,0.5,6.51462543,8.652296066,G3,G3: NM-only diagnostic,Low,High
48,⊤⊤,6.0,2.0,0.0,8.0,0.25,5.612857103,7.112857103,G4,G4: neither diagnostic,Low,Low
49,⊥⊥,5.0,3.0,0.0,8.0,0.375,5.6290831565,6.284889698,G1,G1: both diagnostic,High,High
49,⊥⊤,6.0,2.0,0.0,8.0,0.25,4.4421720505,4.9079190495,G2,G2: BM-only diagnostic,High,Low
49,⊤⊥,4.0,4.0,0.0,8.0,0.5,5.894977927,8.992943406,G3,G3: NM-only diagnostic,Low,High
49,⊤⊤,7.0,1.0,0.0,8.0,0.125,6.3079674245,4.739433289,G4,G4: neither diagnostic,Low,Low
50,⊥⊥,4.0,4.0,0.0,8.0,0.5,3.4921895265,5.485341549,G1,G1: both diagnostic,High,High
50,⊥⊤,5.0,3.0,0.0,8.0,0.375,2.975590706,4.892864704,G2,G2: BM-only diagnostic,High,Low
50,⊤⊥,3.0,5.0,0.0,8.0,0.625,3.4059273005,5.424253702,G3,G3: NM-only diagnostic,Low,High
